"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo", "city"
Life Is A Madness,Jordymone9,46,"['dutch hip hop', 'dutch urban']",0.628,0.67,7,-8.114,0,0.287,0.47,0,0.156,0.218,94.178,Amsterdam
Bye Bye,Oualid,44,"['dutch hip hop', 'dutch urban', 'rif']",0.67,0.494,9,-7.709,1,0.0442,0.31,0,0.131,0.624,95.053,Amsterdam
Kaki,Equalz,51,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.816,0.521,10,-9.145,0,0.12,0.266,6.28e-06,0.0639,0.85,100.001,Amsterdam
YEAH YEAH,Idaly,56,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.577,0.805,11,-6.217,1,0.4,0.09,0,0.123,0.277,79.096,Amsterdam
Habri Pia,Broederliefde,54,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.797,0.729,5,-7.233,1,0.0798,0.0487,9.22e-06,0.194,0.658,100.033,Amsterdam
Single (feat. CHO & Equalz),Architrackz,50,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.553,0.533,10,-7.596,0,0.216,0.264,0,0.129,0.712,134.147,Amsterdam
Babyfever,Defano Holwijn,48,[],0.655,0.562,2,-9.276,0,0.331,0.674,0,0.111,0.55,93.955,Amsterdam
Dit moet een zondag zijn,Lange Frans,37,"['dutch hip hop', 'dutch pop', 'dutch rock']",0.669,0.548,1,-7.892,0,0.242,0.46,0.000655,0.0599,0.519,93.952,Amsterdam
Droom,Djaga Djaga,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.675,0.691,2,-9.353,1,0.31,0.509,0.000162,0.0759,0.0643,119.864,Amsterdam
Ik Leef M'n Eigen Leven,Andre Hazes,47,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']",0.481,0.281,0,-17.171,0,0.0279,0.466,1.65e-06,0.116,0.247,93.773,Amsterdam
Haal Me Naar Boven,Ronnie Flex,53,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.651,0.646,11,-6.803,1,0.0333,0.324,0,0.0758,0.835,134.944,Amsterdam
Go Go Club,Bokoesam,54,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.785,0.622,5,-5.312,0,0.397,0.515,0,0.158,0.639,160.285,Amsterdam
2 Gedachtes,D-Double,50,"['dutch hip hop', 'dutch trap', 'dutch urban']",0.687,0.527,7,-6.929,1,0.385,0.39,0,0.0969,0.33,102.905,Amsterdam
Pull Over,DJ Wale,51,"['dutch hip hop', 'dutch urban']",0.772,0.714,11,-5.905,0,0.24,0.03,0,0.12,0.428,95.064,Amsterdam
Brief Aan Jou,Big2,42,['dutch hip hop'],0.785,0.553,6,-5.013,0,0.0508,0.0334,8.43e-06,0.133,0.16,93.986,Amsterdam
Juppig,ChildsPlay,61,"['basshall', 'dutch hip hop', 'dutch pop', 'dutch urban']",0.887,0.664,7,-5.795,1,0.16,0.112,4.64e-06,0.116,0.421,101.015,Amsterdam
Parkeerplaats,Jermaine Niffer,54,"['dutch hip hop', 'dutch urban']",0.437,0.778,2,-8.109,1,0.639,0.489,0,0.331,0.612,78.324,Amsterdam
Hele Meneer,Adje,46,"['dutch hip hop', 'dutch urban']",0.569,0.676,1,-6.41,0,0.199,0.37,0,0.0994,0.396,94.639,Amsterdam
Praat Met Me (feat. Dystinct),Zefanio,48,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.651,0.723,7,-6.018,0,0.0737,0.258,0.00293,0.12,0.558,98.557,Amsterdam
