"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
"Mozart / Arr Grieg: Piano Sonata No. 16 in C Major, K. 545: I. Allegro (Arr. Grieg for 2 Pianos) [Live]",Wolfgang Amadeus Mozart,58,"['classical', 'classical era']",0.401,0.14,0,-22.696,1,0.0338,0.99,0.929,0.078,0.326,130.037
Cantique de Simeon,Daan Manneke,1,['dutch contemporary classical'],0.131,0.072,11,-26.914,1,0.0372,0.991,0.785,0.134,0.0321,91.471
Topos,Daan Manneke,1,['dutch contemporary classical'],0.17,0.0784,9,-27.641,0,0.0399,0.983,0.854,0.084,0.0255,132.518
Tombeau pour Ton de Leeuw (1998),Daan Manneke,0,['dutch contemporary classical'],0.124,0.013,9,-27.874,0,0.053,0.949,0.828,0.0871,0.11,88.543
Faux Bourdon,Daan Manneke,0,['dutch contemporary classical'],0.273,0.0429,0,-26.636,0,0.0615,0.964,0.326,0.203,0.179,73.583
Soyons plus vite (1991),Daan Manneke,0,['dutch contemporary classical'],0.284,0.0117,2,-25.162,0,0.0577,0.992,0.471,0.114,0.09,79.667
Huisje Tuintje,Ottla,19,['belgian modern jazz'],0.517,0.553,2,-11.233,1,0.032,0.175,0.928,0.091,0.585,93.579
Stofwolk,Ottla,17,['belgian modern jazz'],0.369,0.544,6,-12.922,0,0.0378,0.358,0.859,0.0775,0.246,105.086
Spinrag,Ottla,16,['belgian modern jazz'],0.472,0.247,11,-15.063,0,0.0329,0.902,0.918,0.0893,0.0407,119.876
Je Ne Sens Presque Plus Rien,Ottla,13,['belgian modern jazz'],0.395,0.116,9,-21.78,1,0.0325,0.631,0.912,0.0938,0.0377,109.29
Epistrophy,Ottla,13,['belgian modern jazz'],0.381,0.744,11,-10.235,0,0.112,0.279,0.713,0.232,0.711,171.026
Ne Güzel Güldün,Pinhani,63,"['oyun havasi', 'turkish pop', 'turkish rock']",0.264,0.482,10,-7.711,1,0.0372,0.461,6.42e-05,0.151,0.185,51.722
Beni Sen İnandır,Pinhani,41,"['oyun havasi', 'turkish pop', 'turkish rock']",0.825,0.4,0,-12.626,1,0.0456,0.49,0,0.0981,0.838,106.0
Dön Bak Dünyaya,Pinhani,60,"['oyun havasi', 'turkish pop', 'turkish rock']",0.455,0.592,11,-9.342,0,0.0389,0.0818,0.00221,0.2,0.499,171.937
İyi Değilim Ben,Pinhani,59,"['oyun havasi', 'turkish pop', 'turkish rock']",0.339,0.412,0,-7.766,1,0.0711,0.108,1.29e-05,0.0873,0.348,161.193
Hele Bi Gel,Pinhani,59,"['oyun havasi', 'turkish pop', 'turkish rock']",0.68,0.576,9,-8.637,0,0.0296,0.324,0,0.0448,0.624,146.037
"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)",Richard Strauss,49,"['classical', 'early modern classical', 'post-romantic era']",0.115,0.301,0,-13.321,1,0.0449,0.637,0.935,0.154,0.0409,77.276
Also Sprach Zarathustra Op.30: Einleitung (Opening),Richard Strauss,46,"['classical', 'early modern classical', 'post-romantic era']",0.157,0.175,0,-18.829,1,0.0375,0.413,0.856,0.117,0.0348,81.924
"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)",Richard Strauss,31,"['classical', 'early modern classical', 'post-romantic era']",0.224,0.133,0,-17.521,1,0.0304,0.759,0.871,0.112,0.0363,79.825
"Also sprach Zarathustra, Op.30: 1. Prelude (Sonnenaufgang)",Richard Strauss,41,"['classical', 'early modern classical', 'post-romantic era']",0.129,0.261,0,-10.388,1,0.0301,0.166,0.183,0.138,0.0393,85.786
"Strauss, Richard: 4 Lieder, Op. 27, TrV 170: IV. Morgen",Richard Strauss,40,"['classical', 'early modern classical', 'post-romantic era']",0.202,0.00895,2,-31.486,1,0.0551,0.994,0.264,0.0624,0.0384,172.582
I Say a Little Prayer,Aretha Franklin,75,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.59,0.355,9,-14.051,1,0.0352,0.48,0,0.0585,0.499,133.03
Respect,Aretha Franklin,72,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,69,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.65,0.323,0,-8.698,1,0.0283,0.213,0,0.187,0.276,110.962
