"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",Sergei Prokofiev,44,"classical, early modern classical, russian modern classical",0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0987,133.808
"Lieutenant Kijé, Op. 60: II. Romance",Sergei Prokofiev,43,"classical, early modern classical, russian modern classical",0.187,0.0169,8,-30.742,1,0.0359,0.943,0.891,0.101,0.0843,103.833
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",Pyotr Ilyich Tchaikovsky,62,"classical, late romantic era, russian romanticism",0.109,0.167,4,-18.669,0,0.0382,0.91,0.92,0.109,0.0692,86.554
"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,59,"classical, late romantic era, russian romanticism",0.15,0.128,2,-20.46,1,0.0459,0.944,0.93,0.0703,0.113,46.771
"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky,55,"classical, late romantic era, russian romanticism",0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325
"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the Sugar-Plum Fairy",Pyotr Ilyich Tchaikovsky,53,"classical, late romantic era, russian romanticism",0.323,0.0114,4,-38.855,0,0.0343,0.893,0.652,0.171,0.134,112.378
"Swan Lake, Op. 20, Act II No. 10: Act II By a Lake: No. 10. Scene: Moderato",Pyotr Ilyich Tchaikovsky,52,"classical, late romantic era, russian romanticism",0.218,0.114,4,-20.316,0,0.0365,0.837,0.899,0.114,0.121,87.554
Pictures At An Exhibition: The Hut On Fowl's Legs (Baba-Yaga),Modest Mussorgsky,42,"late romantic era, russian romanticism",0.25,0.177,7,-19.508,1,0.0345,0.894,0.572,0.669,0.238,89.054
Une Larme,Modest Mussorgsky,30,"late romantic era, russian romanticism",0.331,0.0235,7,-31.688,1,0.0528,0.995,0.945,0.0689,0.21,84.884
Memories of a Promenade II,Modest Mussorgsky,40,"late romantic era, russian romanticism",0.266,0.0212,0,-34.496,0,0.0416,0.993,0.894,0.0847,0.265,72.177
"Sorochintsi Fair, Act I: Gopak (Hopak)",Modest Mussorgsky,21,"late romantic era, russian romanticism",0.49,0.225,7,-16.843,1,0.0428,0.953,0.671,0.296,0.453,127.316
Night on Bare Mountain,Modest Mussorgsky,34,"late romantic era, russian romanticism",0.251,0.258,5,-19.02,1,0.0497,0.867,0.723,0.361,0.0999,76.252
"Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano",Edvard Grieg,57,"classical, late romantic era, norwegian classical",0.31,0.0532,4,-26.802,1,0.0401,0.991,0.913,0.0917,0.0719,67.711
"Lyric Pieces, Book 5, Op. 54: Nocturne",Edvard Grieg,56,"classical, late romantic era, norwegian classical",0.296,0.0435,0,-29.73,1,0.0411,0.987,0.857,0.0786,0.0302,72.282
"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",Edvard Grieg,56,"classical, late romantic era, norwegian classical",0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868
"Peer Gynt Suite No. 2, Op. 55: IV. Solveig's Song",Edvard Grieg,54,"classical, late romantic era, norwegian classical",0.0776,0.021,9,-30.849,0,0.05,0.972,0.786,0.0608,0.0356,80.913
"Peer Gynt, Op. 23: IV. In the Hall of the Mountain King",Edvard Grieg,52,"classical, late romantic era, norwegian classical",0.442,0.219,7,-17.568,1,0.057,0.926,0.944,0.144,0.587,118.777
"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,59,"classical, early modern classical, post-romantic era",0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793
"Ma mère l'oye, M. 60 (Version for Piano Duo): I. Pavane de la belle au bois dormant",Maurice Ravel,50,"classical, early modern classical, post-romantic era",0.41,0.00322,0,-47.046,1,0.048,0.936,0.717,0.0403,0.296,114.648
"Piano Concerto in G Major, M. 83: 2. Adagio assai",Maurice Ravel,50,"classical, early modern classical, post-romantic era",0.126,0.0159,4,-34.595,1,0.0401,0.976,0.949,0.0863,0.0373,74.02
"Ravel: String Quartet, M. 35: II. Assez vif - Très rythmé",Maurice Ravel,49,"classical, early modern classical, post-romantic era",0.286,0.0439,5,-24.745,1,0.042,0.925,0.551,0.147,0.0932,152.867
Miroirs: III. Une Barque sur l'Océan,Maurice Ravel,47,"classical, early modern classical, post-romantic era",0.299,0.0514,2,-25.372,1,0.0419,0.984,0.901,0.0772,0.029,64.307
Saavaro (Hue of Black),Vee Kapoor,5,,0.381,0.502,0,-8.777,0,0.0312,0.889,0.00104,0.0954,0.301,139.433
Giridhari,Vee Kapoor,3,,0.512,0.46,2,-9.034,0,0.0333,0.613,2.59e-06,0.0672,0.175,140.117
"Má vlast (My Country): No. 2, Vltava [Moldau]",Bedřich Smetana,47,"classical, late romantic era",0.138,0.114,7,-21.041,1,0.0347,0.931,0.909,0.0431,0.0387,148.02
Die Moldau,Bedřich Smetana,42,"classical, late romantic era",0.253,0.224,7,-12.908,1,0.0321,0.937,0.88,0.116,0.107,76.652
La Moldau,Bedřich Smetana,41,"classical, late romantic era",0.109,0.146,7,-16.413,1,0.0327,0.876,0.779,0.08,0.037,80.727
"Symphony No. 9 in D Minor, Op. 125: IV. Presto / Concerto No. 1 for Piano and Orchestra in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso / 3 Liebesträume, Op. 62: No. 3 in A-Flat Major / Má Vlast: II. Vltava / 12 Études, Op. 10: No. 12 in C",Ludwig van Beethoven,40,"classical, late romantic era",0.383,0.279,4,-12.915,0,0.0312,0.972,0.909,0.106,0.183,76.897
"Má Vlast, JB 1:112: The Moldau (Vltava) [Excerpt]",Bedřich Smetana,37,"classical, late romantic era",0.171,0.238,0,-14.916,1,0.0358,0.968,0.928,0.115,0.0987,105.304
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,67,"classical, classical era, early romantic era",0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612
"Für Elise, WoO 59",Ludwig van Beethoven,65,"classical, classical era, early romantic era",0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931
"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,62,"classical, classical era, early romantic era",0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839
"Symphony No. 5 in C Minor, Op. 67: 1. Allegro con brio",Ludwig van Beethoven,61,"classical, classical era, early romantic era",0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853
"Piano Concerto No.5 in E flat major Op.73 -""Emperor"": 2. Adagio un poco mosso",Ludwig van Beethoven,57,"classical, classical era, early romantic era",0.227,0.0227,11,-29.761,1,0.0432,0.988,0.909,0.103,0.04,84.99
Russian Folk Song,Tata Mirando,6,,0.386,0.495,4,-7.721,0,0.0438,0.192,0.883,0.114,0.604,58.296
Czardas Van Monti,Tata Mirando,5,,0.375,0.536,2,-9.199,1,0.0355,0.501,0.85,0.0856,0.573,120.679
Tsecho-Mmje Gore,Tata Mirando,5,,0.419,0.559,9,-7.862,0,0.0373,0.701,0.608,0.111,0.791,150.355
Zwei Gitarren,Tata Mirando,5,,0.437,0.402,2,-8.806,0,0.0462,0.434,0.931,0.0825,0.719,87.591
Levelem Levelem / Szep A Rozam,Tata Mirando,4,,0.357,0.438,9,-8.201,0,0.0297,0.772,0.638,0.059,0.536,90.012
MM 51,Mauricio Kagel,3,"acousmatic, avant-garde, contemporary classical, free improvisation, latin classical",0.584,0.11,7,-18.24,1,0.0875,0.937,0.902,0.1,0.038,95.91
Rrrrrrr...: Ragtime-Waltz,Mauricio Kagel,4,"acousmatic, avant-garde, contemporary classical, free improvisation, latin classical",0.435,0.15,11,-18.131,0,0.0421,0.989,0.871,0.0841,0.165,84.229
The 8 Pieces of the Wind Rose: I. Osten,Mauricio Kagel,3,"acousmatic, avant-garde, contemporary classical, free improvisation, latin classical",0.185,0.146,2,-20.282,0,0.0451,0.693,0.237,0.105,0.0917,74.932
Ludwig van: I,Mauricio Kagel,3,"acousmatic, avant-garde, contemporary classical, free improvisation, latin classical",0.419,0.0022,7,-36.587,1,0.0515,0.987,0.44,0.102,0.207,125.264
"10 Marsche, um den Sieg zu verfehlen",Mauricio Kagel,3,"acousmatic, avant-garde, contemporary classical, free improvisation, latin classical",0.49,0.381,2,-17.02,1,0.254,0.935,0.786,0.28,0.0683,118.354
"Concerto grosso in D Major, Op. 3, No. 12: I. Introduzione: Allegro",Pietro Castrucci,2,"baroque, italian baroque",0.539,0.325,1,-11.702,1,0.0285,0.775,0.035,0.0881,0.539,107.27
"Recorder Sonata in D Minor, Op. 1, No. 10: II. Allegro",Pietro Castrucci,2,"baroque, italian baroque",0.383,0.0851,1,-21.589,0,0.0415,0.877,0.000183,0.258,0.519,107.636
"Recorder Sonata in D Minor, Op. 1, No. 10: I. Adagio",Pietro Castrucci,2,"baroque, italian baroque",0.169,0.0656,1,-21.088,0,0.042,0.92,2.1e-05,0.114,0.167,91.916
"Recorder Sonata in D Minor, Op. 1, No. 10: IV. Allegro",Pietro Castrucci,2,"baroque, italian baroque",0.521,0.08,1,-22.191,0,0.0775,0.802,0.0106,0.0721,0.352,69.751
"Concerto grosso in D Major, Op. 3, No. 12: III. Allegro",Pietro Castrucci,2,"baroque, italian baroque",0.358,0.229,1,-13.705,1,0.0372,0.939,0.923,0.216,0.829,173.874
"Pietà, Signore - Live",Alessandro Stradella,5,"baroque, italian baroque",0.244,0.206,2,-17.014,0,0.0472,0.988,3.9e-05,0.0989,0.0421,89.197
"Pietà, Signore",Alessandro Stradella,6,"baroque, italian baroque",0.175,0.119,2,-18.229,0,0.0439,0.974,6.34e-05,0.108,0.0413,90.801
San Giovanni Battista: Sinfonia,Alessandro Stradella,16,"baroque, italian baroque",0.501,0.114,1,-24.356,1,0.0432,0.88,0.0435,0.0794,0.637,64.092
San Giovanni Battista: Queste lagrime e sospiri,Alessandro Stradella,7,"baroque, italian baroque",0.15,0.0418,4,-20.21,0,0.0433,0.923,0.00659,0.154,0.0549,84.667
"Pietà, Signore",Alessandro Stradella,5,"baroque, italian baroque",0.189,0.192,2,-16.984,0,0.0436,0.968,0.00124,0.0868,0.0617,89.642
Sant'Agnese: Vaga rosa (Aria),Bernardo Pasquini,14,"baroque, italian baroque, italian opera",0.302,0.0447,1,-26.556,0,0.0542,0.921,0.117,0.126,0.277,76.673
La sete di Cristo: Overture,Bernardo Pasquini,8,"baroque, italian baroque, italian opera",0.245,0.0678,4,-14.542,0,0.0401,0.913,0.00409,0.13,0.0681,125.67
Passagagli per Petronilla (Arr. for Double Harp),Bernardo Pasquini,4,"baroque, italian baroque, italian opera",0.386,0.0655,10,-28.372,1,0.0379,0.978,0.934,0.078,0.188,130.856
Sonata in D Minor (arr. for 2 guitars): II. Adagio,Anonymous ,0,"baroque, italian baroque, italian opera",0.576,0.0129,2,-32.555,0,0.0711,0.99,0.927,0.0789,0.262,116.326
I fatti di Mosè nel deserto: D'una fede al vivo zelo,Bernardo Pasquini,3,"baroque, italian baroque, italian opera",0.367,0.103,5,-15.705,1,0.056,0.901,0,0.133,0.358,132.548
"Concerto grosso in G minor, Op.6, No.8 ""fatto per la notte di Natale"": 3. Adagio - Allegro - Adagio",Arcangelo Corelli,37,"baroque, classical, early music, italian baroque",0.197,0.0911,2,-21.511,1,0.0455,0.926,0.721,0.119,0.133,120.682
"Concerto Grosso in D Major, Op. 6 No. 4: II. Allegro",Arcangelo Corelli,35,"baroque, classical, early music, italian baroque",0.558,0.257,1,-18.11,1,0.0399,0.93,0.0885,0.182,0.711,132.884
"Concerto grosso In G Minor, Op.6, No.8, MC 6.8 ""Fatto per la Notte di Natale"": 3. Adagio - Allegro - Adagio",Arcangelo Corelli,35,"baroque, classical, early music, italian baroque",0.211,0.062,3,-26.073,1,0.0428,0.931,0.676,0.103,0.118,86.714
"Sonata in D Major, No. 1: I. Grave - Allegro",Arcangelo Corelli,33,"baroque, classical, early music, italian baroque",0.201,0.115,8,-15.789,1,0.0406,0.957,0.151,0.108,0.0393,147.055
"Sonata ""Follia"" Op.5, No.12: Adagio",Arcangelo Corelli,32,"baroque, classical, early music, italian baroque",0.2,0.043,1,-24.379,0,0.0336,0.987,0.972,0.0954,0.209,81.646
"Introduzione teatrale in F Major, Op. 4 No. 2: II. Andante",Pietro Locatelli,23,"baroque, early music, italian baroque",0.262,0.0585,4,-22.997,0,0.0458,0.894,0.788,0.494,0.128,112.367
"Concerto Grosso in F Major, Op. 1, No. 1: III. Allegro",Pietro Locatelli,24,"baroque, early music, italian baroque",0.568,0.238,5,-18.102,1,0.0387,0.939,0.00102,0.183,0.667,123.009
"Sonata for 2 violins and basso continuo in A, Op. 8 No. 7: II. Fuga",Pietro Locatelli,24,"baroque, early music, italian baroque",0.469,0.266,8,-16.534,1,0.0375,0.836,0.846,0.0961,0.651,128.365
"Flute Sonata in D Major, Op. 2, No. 2: I. Largo",Pietro Locatelli,24,"baroque, early music, italian baroque",0.12,0.162,1,-18.552,1,0.0449,0.973,0.0193,0.19,0.201,170.872
"Concerto Grosso In F Minor, Op.1, No.8 ""Christmas Concerto"": 5. Andante",Pietro Locatelli,24,"baroque, early music, italian baroque",0.0975,0.188,10,-17.388,0,0.0387,0.933,0.834,0.201,0.0844,63.113
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,65,"baroque, classical, early music, english baroque, german baroque",0.204,0.0331,2,-24.044,0,0.0487,0.927,0.825,0.0954,0.0547,116.2
"Suite in B-Flat Major, HWV 434: IV. Menuet",George Frideric Handel,53,"baroque, classical, early music, english baroque, german baroque",0.406,0.00645,7,-32.739,0,0.0453,0.994,0.935,0.0895,0.111,59.156
"Water Music Suite No. 1 In F, HWV 348: 2. Adagio e staccato",George Frideric Handel,52,"baroque, classical, early music, english baroque, german baroque",0.201,0.036,1,-24.204,0,0.0445,0.95,0.891,0.116,0.0842,106.02
"Concerto in D Minor, Op.7, No.4: I. Adagio",George Frideric Handel,51,"baroque, classical, early music, english baroque, german baroque",0.0685,0.0173,1,-26.846,0,0.0408,0.942,0.66,0.1,0.073,74.996
"Serse: Aria ""Ombra mai fù"" (Atto I, scena 1)",George Frideric Handel,50,"baroque, classical, early music, english baroque, german baroque",0.193,0.095,4,-23.482,1,0.0468,0.935,0.277,0.109,0.0419,107.44
Meeting With Doozakhian,Homay,19,"classic persian pop, persian traditional",0.484,0.506,6,-10.5,0,0.0644,0.892,0.000113,0.678,0.575,108.472
Tabehara Beshkanid,Homay,16,"classic persian pop, persian traditional",0.416,0.302,6,-11.484,0,0.0367,0.948,0.000794,0.0775,0.24,134.29
Begard Ta Begardi,Homay,15,"classic persian pop, persian traditional",0.369,0.51,11,-10.618,1,0.071,0.918,0.000229,0.933,0.57,154.555
Mah Pareh,Homay,15,"classic persian pop, persian traditional",0.401,0.457,9,-6.363,1,0.0338,0.932,0,0.664,0.303,149.646
Man Az Jahani Degaram,Homay,14,"classic persian pop, persian traditional",0.315,0.443,8,-12.273,0,0.182,0.912,0.00289,0.948,0.246,77.098
Dreams of Sand and Snow - And the Horse-Sized Cat,Antoine Pierre,21,belgian modern jazz,0.318,0.382,6,-17.74,0,0.0651,0.863,0.893,0.658,0.162,85.519
Consequences,Antoine Pierre,7,belgian modern jazz,0.291,0.46,6,-13.128,0,0.0401,0.129,0.959,0.116,0.356,78.816
Barcelona,Jean-Paul Estiévenart,6,belgian modern jazz,0.374,0.291,3,-14.856,0,0.0312,0.936,0.906,0.0883,0.195,126.426
"Die Walkure, Act III: Ride of the Valkyries",Richard Wagner,55,"classical, german opera, late romantic era",0.251,0.219,7,-16.781,1,0.0323,0.929,0.933,0.0824,0.0965,89.997
Tannhäuser: Overture,Richard Wagner,46,"classical, german opera, late romantic era",0.0896,0.16,4,-15.987,1,0.0357,0.833,0.836,0.14,0.0558,81.802
Das Rheingold: Einzug der Götter in Walhall,Richard Wagner,44,"classical, german opera, late romantic era",0.159,0.0533,1,-20.734,1,0.0346,0.97,0.834,0.0892,0.0403,75.579
"Tannhäuser, WWV 70 / Act 2: ""Dich, teure Halle, grüß ich wieder""",Richard Wagner,42,"classical, german opera, late romantic era",0.237,0.233,4,-13.073,0,0.0488,0.983,0.000296,0.0856,0.0395,168.872
"La Cabalgata De Las Valkirias - De La Opera ""La Valkiria""",Richard Wagner,41,"classical, german opera, late romantic era",0.225,0.314,11,-15.209,1,0.0363,0.938,0.848,0.107,0.101,94.211
The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,49,"classical, early modern classical, russian modern classical",0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14
Piano Sonata in F-Sharp Minor: III. Andante,Igor Stravinsky,48,"classical, early modern classical, russian modern classical",0.307,0.0102,2,-30.228,1,0.0381,0.994,0.913,0.163,0.0476,70.895
The Firebird (L'oiseau De Feu) - Suite (1919): Finale,Igor Stravinsky,41,"classical, early modern classical, russian modern classical",0.123,0.225,4,-16.798,1,0.0351,0.73,0.509,0.0658,0.055,78.132
"Stravinsky: Suite After Themes, Fragments and Pieces by Giambattista Pergolesi: Gavotta con due variazioni",Igor Stravinsky,41,"classical, early modern classical, russian modern classical",0.387,0.0259,2,-30.078,1,0.0436,0.961,0.00142,0.194,0.51,138.215
Firebird Suite - 1919 Version,Igor Stravinsky,40,"classical, early modern classical, russian modern classical",0.159,0.0571,11,-19.253,1,0.0381,0.609,0.677,0.0932,0.095,79.811
Adios Nonino (arr. B. Zimmerman),Astor Piazzolla,36,"bandoneon, classical accordion",0.153,0.0801,11,-21.13,0,0.0391,0.883,0.00316,0.0783,0.0397,70.886
Andaluza,Enrique Granados,28,"bandoneon, classical accordion",0.356,0.141,4,-15.966,1,0.044,0.902,0.0138,0.664,0.151,90.055
So Many Partings,Carel Kraayenhof,19,"bandoneon, classical accordion",0.263,0.0751,4,-19.448,1,0.0386,0.942,0.00303,0.699,0.149,170.467
Hello Stranger (Live),Lavinia Meijer,17,"bandoneon, classical accordion",0.418,0.137,9,-23.206,1,0.0688,0.98,0.927,0.0809,0.0798,117.305
Il postino,Luis Bacalov,17,"bandoneon, classical accordion",0.191,0.113,0,-17.849,1,0.0367,0.91,0.00647,0.685,0.115,182.934
Orbit,Eric Vloeimans,21,,0.162,0.0592,4,-17.727,0,0.039,0.989,0.889,0.115,0.162,69.602
If You Are Here,Eric Vloeimans,20,,0.204,0.1,1,-13.884,0,0.0407,0.991,0.885,0.113,0.19,50.48
The Wanderer,Eric Vloeimans,17,,0.407,0.266,4,-12.091,0,0.0313,0.987,0.841,0.0967,0.148,90.33
Por las Ramas,Eric Vloeimans,15,,0.331,0.317,0,-10.391,0,0.0334,0.984,0.924,0.101,0.353,147.324
Sudamérica,Eric Vloeimans,15,,0.141,0.082,7,-20.112,0,0.0396,0.984,0.894,0.0974,0.119,65.575
Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler,55,"classical, post-romantic era",0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015
Symphony No.5 In C Sharp Minor: 4. Adagietto (Sehr langsam),Gustav Mahler,49,"classical, post-romantic era",0.0889,0.00849,5,-33.111,1,0.0453,0.832,0.815,0.12,0.034,86.682
Symphony No. 9 in D Major: IV. Adagio - Sehr langsam und noch zuruckhaltend,Gustav Mahler,40,"classical, post-romantic era",0.137,0.0292,1,-25.755,1,0.0425,0.805,0.298,0.0651,0.0309,81.113
Rückert-Lieder: Ich bin der Welt abhanden gekommen,Gustav Mahler,39,"classical, post-romantic era",0.0874,0.0125,5,-33.135,1,0.0446,0.967,0.00112,0.0753,0.0346,169.146
Symphony No. 5: IV. Adagietto. Sehr langsam,Gustav Mahler,39,"classical, post-romantic era",0.0618,0.00639,5,-34.643,1,0.0443,0.715,0.0967,0.113,0.0342,66.029
"Violin Concerto In D Major, Op.35: 3. Finale: Allegro assai vivace",Erich Wolfgang Korngold,41,"classic soundtrack, early modern classical",0.405,0.318,9,-17.14,1,0.0565,0.938,0.723,0.284,0.342,151.434
"Die tote Stadt (The Dead City), Op. 12: Act I Scene 5: Gluck, das mir verblieb (Marietta, Paul)",Erich Wolfgang Korngold,34,"classic soundtrack, early modern classical",0.0925,0.103,10,-24.231,1,0.0435,0.922,0.342,0.17,0.0579,82.612
"Violin Concerto in D Major, Op. 35: 2. Romance: Andante",Erich Wolfgang Korngold,32,"classic soundtrack, early modern classical",0.124,0.0847,7,-24.347,1,0.0501,0.931,0.189,0.0774,0.0348,72.354
"Die tote Stadt / Act 1: Glück, das mir verblieb (Mariettalied)",Erich Wolfgang Korngold,28,"classic soundtrack, early modern classical",0.184,0.125,10,-19.406,1,0.0436,0.977,0.436,0.0914,0.0353,87.56
Die tote Stadt / Act 1: Mariettas Lied,Erich Wolfgang Korngold,22,"classic soundtrack, early modern classical",0.146,0.253,10,-14.952,1,0.0368,0.941,0.906,0.0917,0.0379,93.977
