zipcodes_rotterdam$city,zipcodes_rotterdam$zip,lon,lat
ROTTERDAM,3068 JG,4.5365402,51.9568488
ROTTERDAM,3079 MB,4.560300499999999,51.8785023
ROTTERDAM,3055RG,4.505819199999999,51.9595169
ROTTERDAM,3067ZW,4.5551277,51.9500875
ROTTERDAM,3000AC,4.4777326,51.9244201
ROTTERDAM,3067LC,4.537032,51.9439357
ROTTERDAM,3078GS,4.5492588,51.8927521
ROTTERDAM,3037RM,4.474642,51.93791299999999
ROTTERDAM,3032SE,4.4755606,51.9299112
ROTTERDAM,3033VE,4.468356,51.9295585
ROTTERDAM,3039EH,4.4579318,51.93021359999999
ROTTERDAM,3031PL,4.487865,51.9253768
ROTTERDAM,3052 TK,4.473484099999999,51.9540837
ROTTERDAM,3069XW,4.5721329,51.9700984
ROTTERDAM,3023SN,4.4471012,51.9141455
ROTTERDAM,3063JC,4.5213345,51.9079293
ROTTERDAM,3029CL,4.4420746,51.9043523
ROTTERDAM,3023ET,4.4530563,51.9115502
ROTTERDAM,3075ZA,4.519904400000001,51.8848807
ROTTERDAM,3031WC,4.485490299999999,51.9285226
ROTTERDAM,3085HZ,4.4942066,51.8718252
ROTTERDAM,3027TS,4.431490399999999,51.9162038
ROTTERDAM,3083DS,4.4869905,51.8877432
ROTTERDAM,3071CA,4.5080064,51.9087472
ROTTERDAM,3045PM,4.4645605,51.94587019999999
ROTTERDAM,3014GK,4.4650515,51.9141618
ROTTERDAM,3012HS,4.4753365999999994,51.9201746
ROTTERDAM,3023BD,4.4537223,51.91237350000001
ROTTERDAM,3068JB,4.5334599,51.9581658
ROTTERDAM,3076KT,4.5279886,51.8745671
ROTTERDAM,3021CC,4.4579819,51.9200567
ROTTERDAM,3052 HP,4.4764456,51.9543943
ROTTERDAM,3059RA,4.5903459,51.9827981
ROTTERDAM,3039CN,4.4571572,51.9297041
ROTTERDAM,3071PR,4.4994022,51.91098359999999
ROTTERDAM,3055BC,4.4998412,51.96015509999999
ROTTERDAM,3062RD,4.522787,51.9215759
ROTTERDAM,3079PA,4.5428935,51.883574
ROTTERDAM,3063DD,4.5154124,51.91729669999999
ROTTERDAM,3038BL,4.463675100000001,51.9351667
ROTTERDAM,3014NP,4.4642985,51.92110419999999
ROTTERDAM,3011GM,4.4855009,51.9193003
ROTTERDAM,3052PA,4.4737867,51.95208160000001
ROTTERDAM,3053WV,4.4780633,51.9592787
ROTTERDAM,3032HB,4.4813681,51.9267291
ROTTERDAM,3026GB,4.4438695,51.9150724
ROTTERDAM,3065SG,4.5448958,51.9217004
ROTTERDAM,3021EG,4.4628934,51.9152055
ROTTERDAM,3039EN,4.4624263,51.93084229999999
ROTTERDAM,3021AH,4.4583277,51.9216145
ROTTERDAM,3022BA,4.4535829,51.9176848
ROTTERDAM,3024TV,4.4529681,51.9067046
ROTTERDAM,3071ZB,4.5070437,51.9052164
ROTTERDAM,3068 TM,4.557742300000001,51.9621058
ROTTERDAM,3055GJ,4.5073535,51.9576947
ROTTERDAM,3066PG,4.5390731,51.9359775
ROTTERDAM,3065NG,4.5473145,51.9229582
ROTTERDAM,3085JV,4.4913109,51.86993349999999
ROTTERDAM,3037NC,4.4707453,51.9371636
ROTTERDAM,3083LW,4.4926119,51.8870311
ROTTERDAM,3042HP,4.442724699999999,51.93358000000001
ROTTERDAM,3055HS,4.5046678,51.9625734
ROTTERDAM,3067HP,4.5462599,51.9412515
ROTTERDAM,3067MH,4.5572855,51.9419501
ROTTERDAM,3066HH,4.549074099999999,51.93150989999999
ROTTERDAM,3012GH,4.4750839,51.9197322
ROTTERDAM,3014VN,4.4663233,51.9180639
ROTTERDAM,3032AJ,4.4705004,51.9306359
ROTTERDAM,3085JJ,4.4904882,51.8711407
ROTTERDAM,3078LD,4.547940200000001,51.89023479999999
ROTTERDAM,3054CM,4.4831929,51.9574306
ROTTERDAM,3034EH,4.497577199999999,51.9326956
ROTTERDAM,3042 VS,4.4389775,51.9368128
ROTTERDAM,3027PL,4.4369968,51.9149541
ROTTERDAM,3000CA,4.4777326,51.9244201
ROTTERDAM,3012VL,4.4781692,51.9152438
ROTTERDAM,3061KZ,4.5026547,51.93107999999999
ROTTERDAM,3052SL,4.4701366,51.9513071
ROTTERDAM,3039ZB,4.4629368,51.9286441
ROTTERDAM,3039RP,4.4608519,51.9324479
ROTTERDAM,3023TC,4.4521786,51.9139163
ROTTERDAM,3042PG,4.4267737,51.9321834
ROTTERDAM,3023RA,4.4507132,51.9158911
ROTTERDAM,3037 CL,4.4720483,51.9360232
ROTTERDAM,3031NA,4.4953764,51.9270969
ROTTERDAM,3039TG,4.4570064,51.93066469999999
ROTTERDAM,3011DE,4.4829152,51.923541
ROTTERDAM,3036XZ,4.480480399999999,51.9361335
ROTTERDAM,3068MX,4.5389485,51.9564347
ROTTERDAM,3031WD,4.4851922,51.9281608
ROTTERDAM,3067 ZJ,4.5413846,51.9391042
ROTTERDAM,3066GA,4.5433354,51.9320262
ROTTERDAM,3039TD,4.456103199999999,51.9314486
ROTTERDAM,3085NB,4.4840158,51.876008
ROTTERDAM,3023 XP,4.4515968,51.9111431
ROTTERDAM,3074JB,4.507179499999999,51.8982781
ROTTERDAM,3011ZE,4.4836031,51.9233126
ROTTERDAM,3068RV,4.5566531,51.9564892
ROTTERDAM,3072KV,4.4979464,51.9052288
ROTTERDAM,3032EM,4.483503799999999,51.9260804
ROTTERDAM,3051GV,4.4783893,51.9453308
ROTTERDAM,3067 BJ,4.549625499999999,51.944044
ROTTERDAM,3065KA,4.5589296,51.93008769999999
ROTTERDAM,3054BA,4.4918113,51.9549707
ROTTERDAM,3011BT,4.4805198,51.91112709999999
ROTTERDAM,3067GK,4.562221200000001,51.9503712
ROTTERDAM,3042SJ,4.435638400000001,51.9379184
ROTTERDAM,3024NG,4.4606166,51.90719660000001
ROTTERDAM,3051AJ,4.4879875,51.94686069999999
ROTTERDAM,3039JL,4.458952399999999,51.9300778
ROTTERDAM,3079ZC,4.5610061,51.8812039
ROTTERDAM,3068LB,4.5634001,51.9606444
ROTTERDAM,3069PE,4.5515633,51.9641834
ROTTERDAM,3014CG,4.463598,51.9198223
ROTTERDAM,3021DV,4.4562155,51.9218225
ROTTERDAM,3071 NH,4.4929178,51.9132895
ROTTERDAM,3086AM,4.4716467,51.8779437
ROTTERDAM,3081LB,4.4919597,51.8964463
ROTTERDAM,3065SN,4.5531782,51.9211213
ROTTERDAM,3027HA,4.4332207,51.9134403
ROTTERDAM,3034EC,4.4953138,51.9302515
ROTTERDAM,3023PM,4.4492861,51.9111337
ROTTERDAM,3069EZ,4.4777326,51.9244201
ROTTERDAM,3082KW,4.4670366,51.8881908
ROTTERDAM,3067ZT,4.5606415,51.94689049999999
ROTTERDAM,3061BJ,4.510615899999999,51.9299531
ROTTERDAM,3016CC,4.4763645,51.9067534
ROTTERDAM,3066XB,4.5604676,51.9334243
ROTTERDAM,3053EH,4.4718458,51.9580889
ROTTERDAM,3063AX,4.5060945,51.91953729999999
ROTTERDAM,3061CH,4.497332099999999,51.9230488
ROTTERDAM,3011SK,4.4954376,51.9225491
ROTTERDAM,3011VX,4.4851665,51.9149561
ROTTERDAM,3011MJ,4.4921548,51.920223
ROTTERDAM,3072MA,4.490078599999999,51.9069848
ROTTERDAM,3038AP,4.464911,51.9344663
ROTTERDAM,3038XP,4.4613589,51.933953
ROTTERDAM,3069WT,4.5675365,51.9691765
ROTTERDAM,3044 CC,4.417599399999999,51.93078670000001
ROTTERDAM,3071NG,4.4934349,51.9135991
ROTTERDAM,3065 RB,4.5440194,51.9288941
ROTTERDAM,3071PK,4.5016414,51.91609709999999
ROTTERDAM,3022NE,4.4530902,51.91831010000001
ROTTERDAM,3054PR,4.4933362,51.9616789
ROTTERDAM,3051AS,4.4883605,51.9456681
ROTTERDAM,3079ZG,4.5599063,51.8825625
ROTTERDAM,3025AE,4.4448488,51.9099566
ROTTERDAM,3062BR,4.5161459,51.9274504
ROTTERDAM,3038 EA,4.4628809,51.9320683
ROTTERDAM,3077EH,4.5730708,51.8959217
