"name", "artist", "popularity", "genres", "danceability", "energy", "key", "loudness","mode", "speechiness", "acousticness", "instrumentalness", "liveness", "valence", "tempo","city", "date", "venue"
1 Affoe X 2,Yung Internet,44,['dutch hip hop'],0.958,0.479,10,-9.134,0,0.272,0.167,5.59e-05,0.326,0.688,128.984,Rotterdam,2020-02-07,Rotown
Tram 26,Yung Internet,42,['dutch hip hop'],0.659,0.449,11,-5.89,1,0.514,0.756,0.196,0.147,0.412,170.236,Rotterdam,2020-02-07,Rotown
Ik Zag Je,Yung Internet,39,['dutch hip hop'],0.898,0.405,4,-9.595,1,0.0765,0.0638,0.132,0.1,0.393,119.989,Rotterdam,2020-02-07,Rotown
Anderhalve Liter,Yung Internet,37,['dutch hip hop'],0.894,0.613,10,-7.415,1,0.044,0.0648,0.184,0.126,0.504,127.989,Rotterdam,2020-02-07,Rotown
Superchimi,Yung Internet,36,['dutch hip hop'],0.789,0.484,10,-8.67,0,0.374,0.117,0.00013,0.0922,0.166,79.996,Rotterdam,2020-02-07,Rotown
Mine Own King Am I / Joel,Eric Vloeimans,34,"['dutch jazz', 'jazz brass']",0.175,0.0399,9,-19.371,0,0.044,0.946,0.797,0.12,0.058,119.307,Rotterdam,2020-02-07,LantarenVenster
Ban Blijet,KYTECRASH,22,"['dutch jazz', 'jazz brass']",0.403,0.441,9,-13.901,1,0.0454,0.22,0.0319,0.0713,0.489,149.924,Rotterdam,2020-02-07,LantarenVenster
Orbit,Eric Vloeimans,21,"['dutch jazz', 'jazz brass']",0.162,0.0592,4,-17.727,0,0.039,0.989,0.889,0.115,0.162,69.602,Rotterdam,2020-02-07,LantarenVenster
If You Are Here,Eric Vloeimans,21,"['dutch jazz', 'jazz brass']",0.204,0.1,1,-13.884,0,0.0407,0.991,0.885,0.113,0.19,50.48,Rotterdam,2020-02-07,LantarenVenster
Sojourner,KYTECRASH,20,"['dutch jazz', 'jazz brass']",0.37,0.336,0,-16.783,0,0.0291,0.519,0.927,0.124,0.594,149.082,Rotterdam,2020-02-07,LantarenVenster
Party Animals - Live,Eric Vloeimans' Gatecrash,35,['dutch jazz'],0.571,0.578,7,-10.432,0,0.032,0.0714,0.812,0.126,0.636,98.163,Rotterdam,2020-02-07,LantarenVenster
Airchair - Live,Eric Vloeimans' Gatecrash,20,['dutch jazz'],0.377,0.482,0,-10.089,1,0.0309,0.107,0.905,0.108,0.157,81.541,Rotterdam,2020-02-07,LantarenVenster
Thunderbirds - Live,Eric Vloeimans' Gatecrash,17,['dutch jazz'],0.515,0.306,0,-15.656,1,0.038,0.445,0.777,0.0654,0.68,114.058,Rotterdam,2020-02-07,LantarenVenster
Song for Syria - Live,Eric Vloeimans' Gatecrash,16,['dutch jazz'],0.416,0.164,0,-13.651,1,0.0349,0.525,0.882,0.117,0.0789,130.982,Rotterdam,2020-02-07,LantarenVenster
Entropy - Live,Eric Vloeimans' Gatecrash,15,['dutch jazz'],0.299,0.748,7,-9.919,0,0.0469,0.284,0.891,0.113,0.56,175.996,Rotterdam,2020-02-07,LantarenVenster
Kick A Dope Verse,Cenobites,17,[],0.894,0.379,1,-12.318,1,0.441,0.218,0,0.114,0.358,90.751,Rotterdam,2020-02-07,V11
Girl in the Woods,Cenobites,5,[],0.346,0.997,4,-4.316,0,0.121,0.032,0.0789,0.0898,0.187,95.248,Rotterdam,2020-02-07,V11
Don't Talk to Me,Cenobites,4,[],0.555,0.836,8,-5.346,1,0.0403,0.0112,0,0.329,0.912,183.247,Rotterdam,2020-02-07,V11
Road Fever,Cenobites,3,[],0.315,0.99,9,-6.932,1,0.0624,3.34e-05,0.292,0.0777,0.433,171.483,Rotterdam,2020-02-07,V11
I Think,Cenobites,3,[],0.326,0.998,4,-3.695,0,0.133,0.000883,0.797,0.129,0.205,100.902,Rotterdam,2020-02-07,V11
Winter,Habitants,11,[],0.43,0.35,0,-13.034,1,0.0288,0.416,0.821,0.0774,0.0399,92.027,Rotterdam,2020-02-07,De Kroepoekfabriek
Soul Traveller,Habitants,9,[],0.556,0.916,2,-9.216,1,0.0364,0.00523,0.107,0.286,0.965,126.979,Rotterdam,2020-02-07,De Kroepoekfabriek
One Self,Habitants,8,[],0.353,0.451,2,-13.052,1,0.0281,0.12,0.81,0.0977,0.178,159.96,Rotterdam,2020-02-07,De Kroepoekfabriek
Jupiter,Habitants,8,[],0.424,0.469,9,-9.655,1,0.0281,0.00205,0.324,0.0888,0.406,174.021,Rotterdam,2020-02-07,De Kroepoekfabriek
Meraki,Habitants,8,[],0.223,0.507,8,-11.749,1,0.0341,0.0284,0.424,0.205,0.0684,105.557,Rotterdam,2020-02-07,De Kroepoekfabriek
Firmament,The Ocean,40,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'djent', 'jazz metal', 'mathcore', 'post-metal', 'post-rock', 'progressive metal', 'progressive sludge', 'sludge metal']",0.549,0.881,0,-4.739,0,0.0478,0.000102,0.0114,0.0852,0.286,124.984,Rotterdam,2020-02-07,De Kroepoekfabriek
Permian: The Great Dying,The Ocean,39,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'djent', 'jazz metal', 'mathcore', 'post-metal', 'post-rock', 'progressive metal', 'progressive sludge', 'sludge metal']",0.517,0.85,7,-6.405,1,0.0503,0.000721,6e-05,0.35,0.329,130.03,Rotterdam,2020-02-07,De Kroepoekfabriek
Cambrian II: Eternal Recurrence,The Ocean,38,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'djent', 'jazz metal', 'mathcore', 'post-metal', 'post-rock', 'progressive metal', 'progressive sludge', 'sludge metal']",0.263,0.892,11,-6.331,0,0.0787,0.000215,0.000366,0.326,0.149,128.462,Rotterdam,2020-02-07,De Kroepoekfabriek
Devonian: Nascent,The Ocean,36,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'djent', 'jazz metal', 'mathcore', 'post-metal', 'post-rock', 'progressive metal', 'progressive sludge', 'sludge metal']",0.476,0.827,2,-7.175,0,0.0513,0.00148,0.107,0.12,0.152,120.032,Rotterdam,2020-02-07,De Kroepoekfabriek
Mesopelagic: Into the Uncanny,The Ocean,35,"['alternative metal', 'atmospheric post-metal', 'atmospheric sludge', 'djent', 'jazz metal', 'mathcore', 'post-metal', 'post-rock', 'progressive metal', 'progressive sludge', 'sludge metal']",0.262,0.903,7,-5.687,0,0.0626,0.000967,0.000148,0.172,0.175,159.925,Rotterdam,2020-02-07,De Kroepoekfabriek
Vinegar Joe,Rufusking,16,[],0.521,0.704,9,-7.354,1,0.0449,0.439,0.000534,0.151,0.752,80.066,Rotterdam,2020-02-07,Kofa
De Toiletjuffrouw,Tineke Schouten,8,['streektaal'],0.586,0.837,5,-9.015,1,0.916,0.835,0,0.614,0.437,117.188,Rotterdam,2020-02-07,Theater Aan De Schie
Bep Lachebek In De Gevangenis,Tineke Schouten,7,['streektaal'],0.62,0.825,7,-7.405,1,0.888,0.817,0,0.331,0.327,112.731,Rotterdam,2020-02-07,Theater Aan De Schie
Snelkassa,Tineke Schouten,6,['streektaal'],0.516,0.614,8,-16.119,1,0.939,0.686,0,0.218,0.232,89.728,Rotterdam,2020-02-07,Theater Aan De Schie
Dialectenlied,Tineke Schouten,6,['streektaal'],0.837,0.643,10,-9.754,0,0.117,0.768,0,0.284,0.886,118.758,Rotterdam,2020-02-07,Theater Aan De Schie
Golfster,Tineke Schouten,5,['streektaal'],0.536,0.801,7,-11.132,1,0.943,0.866,0,0.981,0.426,85.896,Rotterdam,2020-02-07,Theater Aan De Schie
Wood Rave - Bodyjack Remix,Fiedel,17,[],0.761,0.501,7,-12.329,1,0.0864,0.00366,0.955,0.059,0.0623,123.998,Rotterdam,2020-02-07,Cultuurpodium Perron
Probe-806,Fiedel,15,[],0.806,0.777,6,-13.71,1,0.0607,2.23e-05,0.801,0.0737,0.301,128.995,Rotterdam,2020-02-07,Cultuurpodium Perron
Div'hain,Boris,13,[],0.789,0.667,8,-15.215,1,0.0555,0.0372,0.926,0.105,0.172,129.005,Rotterdam,2020-02-07,Cultuurpodium Perron
Substance B,Fiedel,10,[],0.645,0.554,11,-17.351,0,0.0662,0.00706,0.93,0.0974,0.292,133.321,Rotterdam,2020-02-07,Cultuurpodium Perron
Back Door - Tallmen 785 Remix,Fiedel,8,[],0.71,0.536,5,-15.026,0,0.0428,0.00106,0.826,0.101,0.138,132.017,Rotterdam,2020-02-07,Cultuurpodium Perron
Mi'râj,Hassan K,0,[],0.596,0.485,2,-12.35,1,0.0518,0.169,0.886,0.107,0.199,119.862,Rotterdam,2020-02-07,Roodkapje
Billy,DRAMA,62,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'vapor soul']",0.845,0.442,8,-9.698,0,0.0332,0.197,0.00543,0.191,0.404,106.426,Rotterdam,2020-02-08,Rotown
Low Tide,DRAMA,60,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'vapor soul']",0.77,0.454,7,-9.517,1,0.0287,0.709,0.0708,0.164,0.493,107.024,Rotterdam,2020-02-08,Rotown
Hopes Up,DRAMA,57,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'vapor soul']",0.733,0.579,7,-8.83,0,0.0286,0.22,0.288,0.153,0.555,121.987,Rotterdam,2020-02-08,Rotown
Years,DRAMA,57,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'vapor soul']",0.71,0.76,4,-8.936,0,0.0288,0.301,0.000183,0.202,0.583,98.979,Rotterdam,2020-02-08,Rotown
Dead and Gone,DRAMA,54,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'indietronica', 'vapor soul']",0.695,0.558,6,-10.001,0,0.0258,0.158,0.00321,0.14,0.257,103.995,Rotterdam,2020-02-08,Rotown
Walls - Joris Voorn Remix,Yotto,58,"['dutch tech house', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",0.554,0.83,8,-5.82,1,0.0358,0.000376,0.851,0.363,0.331,122.99,Rotterdam,2020-02-08,Annabel
Piece Of Your Heart - Joris Voorn Remix,MEDUZA,57,"['dutch tech house', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",0.717,0.792,3,-7.061,0,0.0285,0.00354,0.643,0.129,0.874,124.011,Rotterdam,2020-02-08,Annabel
Antigone - Edit,Joris Voorn,55,"['dutch tech house', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",0.497,0.812,1,-7.266,0,0.0286,0.0019,0.101,0.14,0.611,124.959,Rotterdam,2020-02-08,Annabel
Ringo,Joris Voorn,52,"['dutch tech house', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",0.748,0.756,5,-9.045,0,0.0509,0.0358,0.908,0.203,0.717,121.995,Rotterdam,2020-02-08,Annabel
Ryo,Joris Voorn,50,"['dutch tech house', 'house', 'microhouse', 'minimal techno', 'progressive house', 'tech house']",0.57,0.779,8,-7.85,1,0.0301,0.00525,0.891,0.367,0.206,126.015,Rotterdam,2020-02-08,Annabel
Diamonds And Pearls,Marcin Wasilewski Trio,53,"['contemporary jazz', 'contemporary post-bop', 'dark jazz', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",0.295,0.103,7,-21.58,1,0.0412,0.925,0.887,0.0901,0.112,78.404,Rotterdam,2020-02-08,LantarenVenster
January,Marcin Wasilewski Trio,51,"['contemporary jazz', 'contemporary post-bop', 'dark jazz', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",0.319,0.0929,11,-24.257,0,0.0384,0.935,0.765,0.161,0.0548,101.557,Rotterdam,2020-02-08,LantarenVenster
Sudovian Dance,Marcin Wasilewski Trio,39,"['contemporary jazz', 'contemporary post-bop', 'dark jazz', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",0.448,0.157,5,-17.145,0,0.0343,0.882,0.672,0.11,0.223,120.491,Rotterdam,2020-02-08,LantarenVenster
Austin,Marcin Wasilewski Trio,33,"['contemporary jazz', 'contemporary post-bop', 'dark jazz', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",0.425,0.0425,0,-24.513,0,0.0425,0.958,0.908,0.095,0.0935,119.931,Rotterdam,2020-02-08,LantarenVenster
The First Touch,Marcin Wasilewski Trio,28,"['contemporary jazz', 'contemporary post-bop', 'dark jazz', 'ecm-style jazz', 'german jazz', 'italian jazz', 'jazz trio', 'modern jazz trio', 'norwegian jazz', 'polish jazz', 'polish modern jazz', 'swedish jazz']",0.301,0.0242,11,-27.888,1,0.0402,0.98,0.851,0.101,0.0808,103.104,Rotterdam,2020-02-08,LantarenVenster
Redemption Song (Bonus Track) [Live],Rootsriders,19,[],0.429,0.232,7,-11.124,1,0.0381,0.562,7.18e-06,0.987,0.225,103.316,Rotterdam,2020-02-08,Annabel
So Much Trouble in the World (Live),Rootsriders,18,[],0.5,0.605,9,-7.868,0,0.171,0.189,0,0.187,0.256,78.79,Rotterdam,2020-02-08,Annabel
Survival (Live),Rootsriders,16,[],0.679,0.654,9,-5.715,0,0.18,0.159,0,0.443,0.605,152.23,Rotterdam,2020-02-08,Annabel
Zimbabwe (Live),Rootsriders,16,[],0.762,0.592,11,-5.946,0,0.11,0.136,0,0.038,0.588,131.941,Rotterdam,2020-02-08,Annabel
One Drop (Live) [feat. Shuga Turf],Rootsriders,15,[],0.675,0.538,0,-6.712,1,0.195,0.123,0,0.855,0.625,135.479,Rotterdam,2020-02-08,Annabel
De Helft Van Mij,Angela Groothuizen,29,['dutch pop'],0.481,0.25,8,-14.732,0,0.0413,0.834,1.99e-05,0.123,0.273,133.061,Rotterdam,2020-02-08,BRES Theater
Toen Ik Je Zag,Angela Groothuizen,20,['dutch pop'],0.307,0.283,1,-12.52,1,0.0333,0.601,0,0.145,0.124,198.067,Rotterdam,2020-02-08,BRES Theater
De Lage Landen,Angela Groothuizen,19,['dutch pop'],0.428,0.395,1,-7.913,0,0.0308,0.651,1.7e-05,0.104,0.203,96.735,Rotterdam,2020-02-08,BRES Theater
Omarm Me,Angela Groothuizen,17,['dutch pop'],0.47,0.301,5,-14.834,0,0.034,0.305,1.23e-05,0.0915,0.494,131.813,Rotterdam,2020-02-08,BRES Theater
Zachtjes gaan de paardenvoetjes,Angela Groothuizen,16,['dutch pop'],0.89,0.184,3,-11.874,1,0.0568,0.926,0.000149,0.0782,0.672,90.001,Rotterdam,2020-02-08,BRES Theater
Suzanne,V.O.F. De Kunst,45,['muziek voor kinderen'],0.562,0.495,9,-13.055,0,0.0327,0.392,0,0.118,0.579,92.16,Rotterdam,2020-02-08,Theater Het Kruispunt
Een Kopje Koffie,V.O.F. De Kunst,39,['muziek voor kinderen'],0.761,0.822,7,-10.995,1,0.0338,0.0995,0.000338,0.217,0.968,117.646,Rotterdam,2020-02-08,Theater Het Kruispunt
De Kop Van De Kat Is Jarig,V.O.F. De Kunst,29,['muziek voor kinderen'],0.679,0.422,2,-11.13,1,0.0857,0.528,1.71e-06,0.113,0.863,98.671,Rotterdam,2020-02-08,Theater Het Kruispunt
"Er Is Er Een Jarig, Hoera, Hoera",V.O.F. De Kunst,28,['muziek voor kinderen'],0.481,0.374,5,-9.198,1,0.0362,0.608,0,0.187,0.838,118.74,Rotterdam,2020-02-08,Theater Het Kruispunt
Dikkertje Dap,V.O.F. De Kunst,28,['muziek voor kinderen'],0.814,0.324,2,-13.371,1,0.0932,0.674,0,0.204,0.727,123.613,Rotterdam,2020-02-08,Theater Het Kruispunt
Suzanne,Ferdi Lancee,4,[],0.679,0.504,4,-6.336,0,0.0414,0.388,0,0.141,0.702,173.938,Rotterdam,2020-02-08,Theater Het Kruispunt
Als Ze Lacht Dan Lacht Ze Echt,Ferdi Lancee,4,[],0.713,0.596,7,-5.862,1,0.0354,0.547,1.69e-05,0.48,0.708,150.06,Rotterdam,2020-02-08,Theater Het Kruispunt
Een Kopje Koffie,Ferdi Lancee,3,[],0.822,0.736,4,-6.138,1,0.0307,0.5,0.000235,0.144,0.85,128.037,Rotterdam,2020-02-08,Theater Het Kruispunt
Oude Liefde Roest Niet,Ferdi Lancee,2,[],0.683,0.527,5,-8.449,1,0.0287,0.72,1.16e-05,0.216,0.52,91.98,Rotterdam,2020-02-08,Theater Het Kruispunt
Strepen Op De Weg,Ferdi Lancee,1,[],0.581,0.525,9,-8.484,1,0.0281,0.485,1.39e-06,0.19,0.445,87.95,Rotterdam,2020-02-08,Theater Het Kruispunt
Disconnected,Anger Machine,4,[],0.528,0.982,7,-3.926,1,0.0767,3.83e-05,0,0.163,0.325,106.491,Rotterdam,2020-02-08,Kofa
Warpath,Anger Machine,4,[],0.478,0.961,10,-4.226,0,0.121,1.09e-05,0.000572,0.322,0.27,111.949,Rotterdam,2020-02-08,Kofa
Trail of the Perished,Anger Machine,3,[],0.31,0.958,7,-4.116,1,0.137,0.000105,2.79e-05,0.058,0.0945,127.295,Rotterdam,2020-02-08,Kofa
Conquer All,Anger Machine,3,[],0.482,0.947,7,-3.564,1,0.0843,0.000161,0,0.117,0.513,95.994,Rotterdam,2020-02-08,Kofa
Red,Anger Machine,3,[],0.528,0.968,6,-4.55,0,0.0429,0.000109,3.62e-05,0.222,0.668,132.019,Rotterdam,2020-02-08,Kofa
Mark My Words,Black Rabbit,0,['vermont indie'],0.383,0.833,2,-7.661,1,0.038,0.00521,0.245,0.126,0.795,148.821,Rotterdam,2020-02-08,Kofa
Where Do We Go?,Black Rabbit,0,['vermont indie'],0.576,0.733,7,-7.444,1,0.0538,0.00876,0.326,0.127,0.384,128.339,Rotterdam,2020-02-08,Kofa
Carnage,Black Rabbit,0,['vermont indie'],0.244,0.786,9,-5.837,0,0.0383,0.0149,0.0787,0.338,0.587,151.803,Rotterdam,2020-02-08,Kofa
Black Cat,Black Rabbit,0,['vermont indie'],0.258,0.705,9,-7.307,0,0.0378,0.000962,0.641,0.0724,0.707,74.815,Rotterdam,2020-02-08,Kofa
Nicky Says,Black Rabbit,0,['vermont indie'],0.304,0.925,8,-4.151,1,0.0754,5.87e-05,0.00453,0.0678,0.433,90.182,Rotterdam,2020-02-08,Kofa
Velvet Gloves & Spit,Timber Timbre,46,"['chamber pop', 'freak folk', 'new weird america', 'toronto indie']",0.384,0.441,9,-10.411,1,0.029,0.254,0.276,0.0725,0.22,81.493,Rotterdam,2020-02-08,Wijkpodium Schiemond
Demon Host,Timber Timbre,39,"['chamber pop', 'freak folk', 'new weird america', 'toronto indie']",0.64,0.126,5,-17.093,1,0.0369,0.959,0.000786,0.106,0.273,75.663,Rotterdam,2020-02-08,Wijkpodium Schiemond
Hot Dreams,Timber Timbre,45,"['chamber pop', 'freak folk', 'new weird america', 'toronto indie']",0.55,0.373,9,-8.772,1,0.0314,0.391,0.0551,0.0935,0.33,121.941,Rotterdam,2020-02-08,Wijkpodium Schiemond
Grifting,Timber Timbre,44,"['chamber pop', 'freak folk', 'new weird america', 'toronto indie']",0.749,0.46,4,-7.641,0,0.0372,0.117,0.00237,0.106,0.43,91.99,Rotterdam,2020-02-08,Wijkpodium Schiemond
Magic Arrow,Timber Timbre,36,"['chamber pop', 'freak folk', 'new weird america', 'toronto indie']",0.738,0.334,9,-14.653,1,0.0505,0.825,0.189,0.0845,0.489,78.026,Rotterdam,2020-02-08,Wijkpodium Schiemond
Bloed,Jerry Armah,1,[],0.564,0.725,2,-5.451,1,0.198,0.0457,0,0.348,0.122,147.935,Rotterdam,2020-02-09,Baroeg
Valleys,Nérija,34,"['indie jazz', 'uk contemporary jazz']",0.493,0.326,7,-10.655,1,0.18,0.307,0.2,0.124,0.258,80.361,Rotterdam,2020-02-11,BIRD
Pinkham V,Nérija,32,"['indie jazz', 'uk contemporary jazz']",0.477,0.572,0,-7.673,1,0.0488,0.131,0.747,0.106,0.396,132.465,Rotterdam,2020-02-11,BIRD
Riverfest,Nérija,29,"['indie jazz', 'uk contemporary jazz']",0.621,0.683,7,-8.516,0,0.0469,0.0347,0.798,0.197,0.746,102.957,Rotterdam,2020-02-11,BIRD
Blume,Nérija,29,"['indie jazz', 'uk contemporary jazz']",0.4,0.15,7,-14.337,1,0.0315,0.978,0.911,0.0954,0.0384,117.753,Rotterdam,2020-02-11,BIRD
Where It Ends And Begins,Nérija,26,"['indie jazz', 'uk contemporary jazz']",0.389,0.477,7,-8.372,1,0.0409,0.00281,0.225,0.0979,0.183,131.672,Rotterdam,2020-02-11,BIRD
Leun Op Mij,Ruth Jacott,33,"['dutch pop', 'dutch rock']",0.685,0.354,9,-9.418,1,0.0356,0.774,1.39e-05,0.0877,0.257,117.899,Rotterdam,2020-02-11,Oude Luxor Theater
De Jaren Gaan Voorbij,Ruth Jacott,37,"['dutch pop', 'dutch rock']",0.71,0.46,2,-7.549,1,0.0675,0.676,6.1e-05,0.108,0.197,97.03,Rotterdam,2020-02-11,Oude Luxor Theater
Ik Kan Echt Zonder Jou,Ruth Jacott,13,"['dutch pop', 'dutch rock']",0.547,0.439,8,-10.74,1,0.034,0.245,0,0.096,0.295,139.833,Rotterdam,2020-02-11,Oude Luxor Theater
You've Got A Friend,Rene Froger,10,"['dutch pop', 'dutch rock']",0.383,0.812,7,-7.529,1,0.0463,0.0401,0,0.691,0.364,96.397,Rotterdam,2020-02-11,Oude Luxor Theater
Natural Woman,Ruth Jacott,27,"['dutch pop', 'dutch rock']",0.321,0.465,0,-8.035,0,0.0448,0.254,0,0.495,0.179,78.26,Rotterdam,2020-02-11,Oude Luxor Theater
Stil In Mij,Van Dik Hout,57,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",0.586,0.653,11,-8.576,1,0.0315,0.215,0.000555,0.133,0.388,99.454,Rotterdam,2020-02-13,Stadsgehoorzaal
Alles Of Niets,Van Dik Hout,35,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",0.52,0.696,7,-7.751,1,0.0314,0.134,1.44e-06,0.105,0.328,106.253,Rotterdam,2020-02-13,Stadsgehoorzaal
Een Greep Naar Het Geluk,Van Dik Hout,35,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",0.736,0.716,0,-8.06,1,0.0334,0.0595,0,0.285,0.702,93.99,Rotterdam,2020-02-13,Stadsgehoorzaal
Één Nacht Eeuwigheid,Van Dik Hout,35,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",0.54,0.881,1,-5.763,1,0.0404,0.00663,0.0884,0.0789,0.656,97.978,Rotterdam,2020-02-13,Stadsgehoorzaal
Tot Jij Mijn Liefde Voelt,Van Dik Hout,32,"['dutch cabaret', 'dutch indie', 'dutch pop', 'dutch rock', 'nederpop']",0.505,0.315,4,-7.677,1,0.0301,0.848,0.00592,0.118,0.131,77.285,Rotterdam,2020-02-13,Stadsgehoorzaal
About Her,Gender Roles,35,"['brighton indie', 'english indie rock']",0.478,0.841,6,-4.475,0,0.0599,0.000196,0.000181,0.0814,0.622,147.061,Rotterdam,2020-02-13,V11
You Look Like Death,Gender Roles,33,"['brighton indie', 'english indie rock']",0.466,0.919,7,-5.681,1,0.106,0.00331,0.00107,0.103,0.0842,152.061,Rotterdam,2020-02-13,V11
Always,Gender Roles,30,"['brighton indie', 'english indie rock']",0.374,0.889,1,-4.304,0,0.0734,0.000115,0.203,0.0778,0.411,159.053,Rotterdam,2020-02-13,V11
Hey With Two Whys,Gender Roles,29,"['brighton indie', 'english indie rock']",0.414,0.941,4,-4.704,1,0.0999,0.0004,0.019,0.0519,0.451,155.029,Rotterdam,2020-02-13,V11
Deep End,Gender Roles,27,"['brighton indie', 'english indie rock']",0.478,0.938,9,-4.793,0,0.0826,6.01e-05,0.0326,0.15,0.337,142.982,Rotterdam,2020-02-13,V11
Have You Met Miss Jones,Kenny Garrett Quintet,28,[],0.604,0.237,5,-19.828,1,0.0384,0.484,0.492,0.0726,0.418,130.248,Rotterdam,2020-02-13,LantarenVenster
For Openers,Kenny Garrett Quintet,8,[],0.484,0.499,7,-16.51,0,0.0444,0.232,0.601,0.123,0.662,139.485,Rotterdam,2020-02-13,LantarenVenster
Blues In The Afternoon,Kenny Garrett Quintet,5,[],0.486,0.45,1,-18.356,1,0.0379,0.389,0.122,0.261,0.695,128.2,Rotterdam,2020-02-13,LantarenVenster
A Silent Prayer,Kenny Garrett Quintet,4,[],0.338,0.0459,9,-22.274,1,0.0346,0.813,0.295,0.0644,0.0382,114.295,Rotterdam,2020-02-13,LantarenVenster
Oriental Tow Away Zone,Kenny Garrett Quintet,4,[],0.451,0.431,0,-19.114,1,0.0391,0.409,0.335,0.185,0.55,123.314,Rotterdam,2020-02-13,LantarenVenster
Old Suit,Joya Mooi,26,['dutch r&b'],0.72,0.47,4,-11.355,0,0.0367,0.0855,0.000105,0.118,0.156,143.991,Rotterdam,2020-02-13,BIRD
Been Here,Joya Mooi,31,['dutch r&b'],0.619,0.462,11,-9.438,0,0.097,0.237,0,0.127,0.434,118.74,Rotterdam,2020-02-13,BIRD
Don't Let Me Down,Joya Mooi,22,['dutch r&b'],0.615,0.252,5,-12.295,1,0.0543,0.651,0.000268,0.148,0.19,146.429,Rotterdam,2020-02-13,BIRD
Sea of White,Joya Mooi,19,['dutch r&b'],0.719,0.325,5,-12.951,1,0.0576,0.737,2e-06,0.112,0.173,126.093,Rotterdam,2020-02-13,BIRD
I Can Do Better,Joya Mooi,10,['dutch r&b'],0.566,0.425,6,-11.17,0,0.28,0.582,5.69e-06,0.106,0.222,92.316,Rotterdam,2020-02-13,BIRD
Bunker,Balthazar,36,"['belgian indie', 'belgian rock', 'chamber pop', 'dutch indie', 'dutch rock', 'ghent indie']",0.677,0.445,10,-8.883,0,0.0366,0.218,0.0206,0.165,0.234,107.002,Rotterdam,2020-02-14,Maassilo
Fever,Balthazar,55,"['belgian indie', 'belgian rock', 'chamber pop', 'dutch indie', 'dutch rock', 'ghent indie']",0.506,0.548,5,-11.088,0,0.0821,0.203,0.511,0.11,0.472,118.988,Rotterdam,2020-02-14,Maassilo
I’m Never Gonna Let You Down Again,Balthazar,53,"['belgian indie', 'belgian rock', 'chamber pop', 'dutch indie', 'dutch rock', 'ghent indie']",0.697,0.736,6,-7.476,0,0.154,0.385,0.00328,0.331,0.653,168.03,Rotterdam,2020-02-14,Maassilo
Changes,Balthazar,51,"['belgian indie', 'belgian rock', 'chamber pop', 'dutch indie', 'dutch rock', 'ghent indie']",0.748,0.745,1,-8.716,1,0.0337,0.0175,0.545,0.356,0.684,106.997,Rotterdam,2020-02-14,Maassilo
Wrong Vibration,Balthazar,49,"['belgian indie', 'belgian rock', 'chamber pop', 'dutch indie', 'dutch rock', 'ghent indie']",0.695,0.799,1,-7.337,1,0.0409,0.0346,0.456,0.207,0.555,130.063,Rotterdam,2020-02-14,Maassilo
The List,Moonchild,48,"['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b']",0.436,0.358,9,-12.147,0,0.283,0.85,0.0597,0.19,0.333,82.135,Rotterdam,2020-02-14,BIRD
Back to Me,Moonchild,49,"['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b']",0.88,0.22,1,-11.51,0,0.471,0.571,0.0437,0.125,0.812,94.112,Rotterdam,2020-02-14,BIRD
