id,namenl,subtitlenl,subtitle2nl,startts,locationid,Klassiek,Populair,Operacursus,Muziekcursus,Familieconcert,Pop_jazz_and_beyond,Mezzo-middag,Pop_Classics,Muziektheater,Jazz,Doelenmenu
46519,Kerst met Maestro Eric,Superspeciale Kerstspecial!,,2019-12-22 16:00:00,10137,0,0,0,0,1,0,0,0,0,0,0
46789,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-22 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46525,GEANNULEERD Kerst met Maestro Eric,Superspeciale Kerstspecial!,,2019-12-22 19:30:00,10137,0,0,0,0,1,0,0,0,0,0,0
46341,Gabrieli Consort & Players,Grootse Mis voor Eerste Kerstdag,,2019-12-22 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46790,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-23 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46566,Westlands Mannenkoor,het ultieme kerstconcert,,2019-12-23 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46791,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-24 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47032,Googoosh & Martik Live in Concert,Glamour Entertainment presents,,2019-12-25 20:15:00,10135,0,0,0,0,0,1,0,0,0,0,0
46567,Vox Jubilans - Groot Kerstconcert,o.l.v. André van Vliet,,2019-12-26 10:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
46793,Kerstbrunch op 2de Kerstdag,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-26 11:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46630,GEANNULEERD - Mozart on Vacation,Gilles Apap - Violin,,2019-10-13 20:15:00,10137,1,0,0,0,0,0,0,0,0,0,0
46578,Echoes from the Middle Ages,Systir,,2019-10-19 20:15:00,10138,1,0,0,0,0,0,0,0,0,0,0
46794,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-27 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47012,Piano-estafette,,,2019-11-02 11:00:00,10137,1,0,0,0,0,0,0,0,0,0,0
46369,Kerstsprookje Het Zwanenmeer (4+),Rotterdams Philharmonisch Orkest,,2019-12-28 14:15:00,10135,0,0,0,0,1,0,0,0,0,0,0
47086,tram NIET BOEKEN,,,2019-12-28 15:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
46486,Kerstsprookje Het Zwanenmeer (4+),Rotterdams Philharmonisch Orkest,,2019-12-28 16:00:00,10135,0,0,0,0,1,0,0,0,0,0,0
46795,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-28 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46346,"Maarten van Veen, Saskia Lankhoorn, Guy Livingston en Sara D’Agostino",Canto Ostinato,,2019-12-28 20:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
46368,Kerstsprookje Het Zwanenmeer (4+),Rotterdams Philharmonisch Orkest,,2019-12-29 14:15:00,10135,0,0,0,0,1,0,0,0,0,0,0
46487,Kerstsprookje Het Zwanenmeer (4+),Rotterdams Philharmonisch Orkest,,2019-12-29 16:00:00,10135,0,0,0,0,1,0,0,0,0,0,0
46796,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-29 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46797,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-30 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46798,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2019-12-31 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47045,NYE in de Doelen,,,2019-12-31 21:00:00,10143,0,0,0,0,0,0,0,0,0,0,0
46801,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-02 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46802,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-03 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46803,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-04 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46162,Testher,Symphonie 3,,2019-11-13 14:30:00,10138,1,0,0,0,0,0,0,0,0,0,0
46804,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-05 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46805,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-06 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46806,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-07 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46399,Ebonit Saxophone Quartet,winnaar van vele kamermuziekconcoursen,,2020-01-07 20:15:00,10137,0,0,0,0,0,0,0,0,0,0,0
46807,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-08 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46808,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-09 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46297,Nieuwjaar met Beethoven,Rotterdams Philharmonisch Orkest,,2020-01-09 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46809,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-10 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47041,MaNga,Mystiek Productions presenteert,,2020-01-10 21:00:00,10143,0,0,0,0,0,1,0,0,0,0,0
46810,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-11 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
47039,Unilever Concert4You,Rotterdams Philharmonisch Orkest,,2020-01-11 20:00:00,10135,0,0,0,0,0,0,0,0,0,0,0
47067,Elida Almeida,DJ Sonia Vera & DJ Evelyn Rae,,2020-01-11 20:30:00,10143,0,0,0,0,0,1,0,0,0,0,0
46333,Combattimento & Lavinia Meijer - harp,Van Händel tot Glass,,2020-01-12 11:00:00,10137,0,0,0,0,0,0,0,0,0,0,0
46296,Nieuwjaar met Beethoven,Rotterdams Philharmonisch Orkest,,2020-01-12 14:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46417,Laurenscantorij & Hayo Boerema,A Spectacular Happy New Year!,,2020-01-12 15:00:00,10134,0,0,0,0,0,0,0,0,0,0,0
46811,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-12 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46812,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-13 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46813,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-14 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46814,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-15 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46367,Harry Potter and the Order of the Phoenix in Concert,Rotterdams Philharmonisch Orkest,,2020-01-15 19:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
46452,Muziekcursus met Gregor Bak,met diverse gastsprekers,,2020-01-15 20:00:00,10141,1,0,0,1,0,0,0,0,0,0,0
46815,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-16 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46366,Harry Potter and the Order of the Phoenix in Concert,Rotterdams Philharmonisch Orkest,,2020-01-16 19:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
46614,Meesterproef,Classic Young Masters,,2019-11-17 14:00:00,10137,1,0,0,0,0,0,0,0,0,0,0
46374,The Beggar’s Ensemble,Rondom Richard Jones,,2020-01-16 20:30:00,10134,0,0,0,0,0,0,0,0,0,0,0
46816,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-17 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46365,Harry Potter and the Order of the Phoenix in Concert,Rotterdams Philharmonisch Orkest,,2020-01-17 19:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
47011,The Preacher Men - Blue,Club Doelen / Jazz International Rotterdam,,2020-01-17 20:30:00,10141,0,0,0,0,0,0,0,0,0,1,0
46817,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-18 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46364,Harry Potter and the Order of the Phoenix in Concert,Rotterdams Philharmonisch Orkest,,2020-01-18 19:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
47057,Jeff Parker and the New Breed,,,2020-01-18 20:30:00,10141,0,0,0,0,0,0,0,0,0,1,0
46363,Harry Potter and the Order of the Phoenix in Concert,Rotterdams Philharmonisch Orkest,,2020-01-19 13:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
47005,Maak je eigen filmmuziek (8+),Familieworkshop,,2020-01-19 14:00:00,10141,0,0,0,0,1,0,0,0,0,0,0
46818,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-19 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46819,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-20 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46820,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-21 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
